UUID,Email2_CRM_Note
b9706862-2566-4e7f-bb4b-a62f2a1d1994,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
3c92df0e-b1b7-4ae2-98a6-c6fc05a697e4,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
e79b130e-6514-4a32-855f-063122285f56,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
d87f9a94-f16b-4eaa-b3b4-f9a072df92cd,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
d2fb70e4-1606-4e4f-8e9d-8aa41a389f57,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
e571efd0-7e3e-4c48-9c21-f3b0204eda10,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
e7a395ef-3068-46bd-ac8b-0a80e873d62a,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
e8101606-59ca-44a8-9660-660f17935aff,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
80afe16d-17bb-461e-8835-543339e0fd87,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
04fba25b-9508-43e0-94d0-1d2a8ba75e5b,Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2018-01-15 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2018-02-14
